objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237678601846391331,22.44368,21.96333,21.74088,21.33318,21.48666,1.43671,22.34566,21.95344,21.69704,21.34928,21.41911,22.44368,21.96333,21.74088,21.33318,21.48666,10.3053564827355,17.7496259843133,6,QSO,null
1237678601846522282,22.49059,22.401,21.88333,21.86252,21.38582,2.492314,22.47984,22.4177,22.01622,21.9977,21.37475,22.49059,22.401,21.88333,21.86252,21.38582,10.554192278461,17.6434055621274,6,QSO,BROADLINE
1237678619581677607,21.07504,20.58775,20.32527,20.28843,20.12491,1.301287,21.01219,20.59467,20.31795,20.28579,20.13973,21.07504,20.58775,20.32527,20.28843,20.12491,37.3759044149784,2.66633525964655,6,QSO,null
1237678620116713577,20.49182,20.08589,20.07319,19.97737,19.70844,0.6824829,20.49315,20.13965,20.12928,20.02603,19.74593,20.49182,20.08589,20.07319,19.97737,19.70844,33.2020268904475,3.07528314546881,6,QSO,BROADLINE
1237678621705044215,21.60144,21.16164,21.19919,21.20827,20.87321,2.391698,21.57119,21.16015,21.19044,21.20875,20.82301,21.60144,21.16164,21.19919,21.20827,20.87321,33.3013090760902,3.50437423766823,6,QSO,BROADLINE
1237678622778786243,23.7559,21.77484,21.58501,21.72615,22.20022,2.872347,23.66806,21.86041,21.71091,21.90032,22.06724,23.7559,21.77484,21.58501,21.72615,22.20022,33.3828597901789,4.33481773420286,6,QSO,null
1237678622778982822,22.46039,21.7638,21.84974,21.71147,22.03095,2.300714,22.60716,21.90873,22.05872,21.87717,22.18893,22.46039,21.7638,21.84974,21.71147,22.03095,33.8497444035795,4.34073826975286,6,QSO,BROADLINE
1237678622782129190,26.34968,23.24133,21.1933,20.17046,19.47478,0.8182565,25.35578,23.79041,22.02975,21.03559,20.38198,26.34968,23.24133,21.1933,20.17046,19.47478,40.9776894214906,3.99719597808168,3,QSO,null
1237678623318933529,20.63813,20.59161,20.27193,20.13451,20.19482,1.315748,20.56887,20.5851,20.27927,20.15803,20.16424,20.63813,20.59161,20.27193,20.13451,20.19482,40.8781362899116,4.27533572314362,6,QSO,null
1237678623318934204,22.70308,21.61076,21.34385,21.19151,21.13173,1.259709,22.64408,21.63501,21.39087,21.2048,21.13065,22.70308,21.61076,21.34385,21.19151,21.13173,40.9396517017851,4.38104531433444,6,QSO,null
1237678623318999326,21.46014,21.07545,20.90492,20.61767,20.83398,1.57636,21.47015,21.08523,20.95002,20.64644,20.77153,21.46014,21.07545,20.90492,20.61767,20.83398,41.0295014183842,4.30504551125366,6,QSO,BROADLINE
1237678623318999333,21.70754,21.30648,21.14619,20.91831,20.44235,1.576985,21.64433,21.35328,21.20999,20.97268,20.46957,21.70754,21.30648,21.14619,20.91831,20.44235,41.0591332441133,4.44989811259609,6,QSO,BROADLINE
1237678623319064833,21.74173,21.55171,21.53238,21.24652,21.01201,2.043372,21.61209,21.55668,21.50828,21.23699,21.0076,21.74173,21.55171,21.53238,21.24652,21.01201,41.1347616347044,4.28424450313445,6,QSO,BROADLINE
1237678623319064842,21.24317,21.33626,21.00754,20.95802,21.938,1.227483,21.24145,21.35597,21.02518,20.96027,21.95532,21.24317,21.33626,21.00754,20.95802,21.938,41.1648016653215,4.31809819537318,6,QSO,BROADLINE
1237678623855870184,21.04772,20.59148,20.43314,20.21799,20.14557,1.755177,20.99141,20.59565,20.42087,20.21327,20.13443,21.04772,20.59148,20.43314,20.21799,20.14557,41.1106046821384,4.67451509042348,6,QSO,BROADLINE
1237678623855935778,20.83552,20.41593,20.39658,20.21921,19.94704,1.976375,20.82992,20.4549,20.41887,20.25033,19.93631,20.83552,20.41593,20.39658,20.21921,19.94704,41.2980821483194,4.8507486716996,6,QSO,BROADLINE
1237678661438865778,23.3061,21.68209,21.89031,21.43039,21.04017,2.129699,23.18697,21.67767,21.87521,21.37602,21.00376,23.3061,21.68209,21.89031,21.43039,21.04017,33.99956510185,4.04398145390494,6,QSO,BROADLINE
1237678661438931275,23.42485,21.38752,21.17266,21.23807,20.65195,1.2623,23.15823,21.41375,21.20657,21.2442,20.73522,23.42485,21.38752,21.17266,21.23807,20.65195,34.1241986026856,3.96271011115189,6,QSO,null
1237678661978751301,21.24979,21.27953,20.96539,21.00493,22.16488,1.041876,21.24903,21.29713,20.96938,20.99533,22.10161,21.24979,21.27953,20.96539,21.00493,22.16488,40.9140461873295,4.13178086977514,6,QSO,BROADLINE
1237678661978751304,21.37432,20.97672,20.86295,20.72532,20.86249,2.139829,21.28646,20.98775,20.85213,20.73128,20.86518,21.37432,20.97672,20.86295,20.72532,20.86249,40.936105615311,4.19160426664644,6,QSO,BROADLINE
1237678661978751415,21.90823,21.6424,21.36388,21.45176,21.61579,1.246727,21.92075,21.76871,21.52339,21.57982,21.90601,21.90823,21.6424,21.36388,21.45176,21.61579,40.9148525633259,4.250850086739,6,QSO,null
1237678661978751610,22.54493,22.14154,21.93617,21.65681,21.61749,1.574199,22.47358,22.13881,21.92054,21.66293,21.56289,22.54493,22.14154,21.93617,21.65681,21.61749,40.9704103078054,4.09804070387513,6,QSO,BROADLINE
1237678662515622120,21.87487,22.25359,21.68961,21.65283,21.55291,1.334484,21.84194,22.21884,21.68905,21.6276,21.69105,21.87487,22.25359,21.68961,21.65283,21.55291,40.9278423031383,4.49437285934015,6,QSO,null
1237678662515622142,21.01184,20.92348,20.65236,20.50287,20.24165,1.454756,21.02188,20.93184,20.66767,20.5026,20.24456,21.01184,20.92348,20.65236,20.50287,20.24165,41.0006018029092,4.61725795102363,6,QSO,BROADLINE
1237678662515687582,20.09986,19.93936,19.69061,19.65498,19.74285,1.34104,20.10767,19.95554,19.68493,19.65637,19.75978,20.09986,19.93936,19.69061,19.65498,19.74285,41.156399499518,4.50433775428686,6,QSO,BROADLINE
1237678662515687682,21.42663,21.32038,20.78806,20.48426,20.1982,1.484679,21.44961,21.35282,20.82951,20.53632,20.23462,21.42663,21.32038,20.78806,20.48426,20.1982,41.1339589954613,4.5249467050358,6,QSO,BROADLINE
1237678662515687931,22.48841,21.83722,21.7996,21.57835,21.19797,2.482987,22.42591,21.91071,21.85508,21.63766,21.15221,22.48841,21.83722,21.7996,21.57835,21.19797,41.1301063457547,4.506753866063,6,QSO,null
1237678662515753228,21.97502,21.54725,21.20791,20.85883,20.69484,1.51063,21.98563,21.56535,21.23517,20.91376,20.7528,21.97502,21.54725,21.20791,20.85883,20.69484,41.2405157297347,4.52105541967815,6,QSO,BROADLINE
1237679167159533881,21.46021,21.12526,20.93619,20.55029,20.62295,1.67101,21.53301,21.14408,20.97682,20.58758,20.62444,21.46021,21.12526,20.93619,20.55029,20.62295,25.7479169898521,15.3205397714962,6,QSO,BROADLINE
1237679167159599363,20.366,20.3405,20.23688,19.91972,19.72902,1.850125,20.36725,20.35465,20.24854,19.91112,19.73076,20.366,20.3405,20.23688,19.91972,19.72902,25.8707888415188,15.2680241876036,6,QSO,BROADLINE
1237678597007737190,20.83691,20.62976,20.28193,20.37337,20.48469,1.075463,20.86739,20.62049,20.28566,20.38599,20.49649,20.83691,20.62976,20.28193,20.37337,20.48469,339.422529488358,2.16564768388014,6,QSO,null
1237678597007737217,21.57784,21.11406,20.6304,20.51579,20.61833,1.181031,21.63016,21.20802,20.74395,20.61128,20.72379,21.57784,21.11406,20.6304,20.51579,20.61833,339.494901396593,2.23445435095348,6,QSO,BROADLINE
1237678597007737792,22.35708,22.12767,21.93012,21.65237,21.61177,1.429136,22.34617,22.16636,22.00872,21.71759,21.81547,22.35708,22.12767,21.93012,21.65237,21.61177,339.498247092775,2.19519623451387,6,QSO,null
1237678597007802776,21.30953,20.92461,20.20597,19.97389,19.82315,4.026724,21.30401,20.96447,20.24976,19.9869,19.87012,21.30953,20.92461,20.20597,19.97389,19.82315,339.586475566565,2.0588908482523,6,QSO,null
1237678597007802780,22.09306,22.27429,21.61315,21.74121,21.577,1.21565,22.10676,22.33355,21.74033,21.82227,21.74339,22.09306,22.27429,21.61315,21.74121,21.577,339.602408544535,2.07672381641158,6,QSO,null
1237678597007802799,21.90308,21.80011,21.82583,21.35912,21.12096,1.802577,21.8008,21.8107,21.83829,21.37172,21.15871,21.90308,21.80011,21.82583,21.35912,21.12096,339.647941492971,2.17816008892417,6,QSO,BROADLINE
1237678597007868271,21.60765,21.62229,21.48204,21.23919,20.9813,1.847856,21.59658,21.70007,21.5953,21.37843,20.99116,21.60765,21.62229,21.48204,21.23919,20.9813,339.793470291082,2.06372594191541,6,QSO,BROADLINE
1237678597542117653,20.90703,20.13468,19.58094,18.84722,18.60843,6.277906,20.90328,20.1467,19.59364,18.85222,18.60774,20.90703,20.13468,19.58094,18.84722,18.60843,333.804201930862,2.51877866612733,6,QSO,null
