objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237661851470069977,23.40531,21.35851,19.76013,18.88304,18.44409,0.0001822895,23.13845,21.33361,19.74566,18.88859,18.44604,23.40531,21.35851,19.76013,18.88304,18.44409,187.014644791477,45.1982864420617,6,STAR,M2
1237661849860636878,22.73956,20.30823,18.8595,18.32023,17.97289,5.672412E-05,22.67963,20.2943,18.7735,18.31465,17.96533,22.73956,20.30823,18.8595,18.32023,17.97289,190.802133613817,43.8986398934564,6,STAR,M0
1237661355934220298,17.81426,16.85097,16.52345,16.42058,16.42072,-0.0001491468,17.81065,16.87402,16.51306,16.44768,16.42099,17.81426,16.85097,16.52345,16.42058,16.42072,186.429177824328,46.2595108861217,6,STAR,F5
1237657630588207375,19.16191,19.47401,20.01026,20.32883,20.36155,0.0006310708,19.1517,19.49678,20.00279,20.32155,20.37185,19.16191,19.47401,20.01026,20.32883,20.36155,136.788069549317,42.0307088346699,6,STAR,WD
1237657630588076374,24.25921,22.64873,21.03913,18.96842,17.84194,0.0001531073,24.1819,22.65891,21.04598,18.97045,17.83826,24.25921,22.64873,21.03913,18.96842,17.84194,136.280788409997,41.8281557623902,6,STAR,M6
1237657630588076091,17.07815,16.00131,15.70719,15.61215,15.61094,1.094119E-05,17.074,16.00424,15.71794,15.61067,15.62027,17.07815,16.00131,15.70719,15.61215,15.61094,136.272933801908,41.964804907162,6,STAR,F5
1237657630587879441,19.20481,17.31695,16.17339,15.90816,15.65506,-8.609313E-05,19.31368,17.30081,16.2485,15.95936,15.73555,19.20481,17.31695,16.17339,15.90816,15.65506,135.73748599987,41.6052118697519,6,STAR,K5
1237657630587814208,22.75048,20.7885,19.32128,18.36042,17.83919,-0.0003519692,22.71062,20.78193,19.3202,18.36326,17.8289,22.75048,20.7885,19.32128,18.36042,17.83919,135.684765039761,41.6214180436646,6,STAR,M2
1237657630587814006,17.31676,16.35297,16.03235,15.90153,15.85781,-8.653107E-05,17.30958,16.36834,16.03799,15.91892,15.8509,17.31676,16.35297,16.03235,15.90153,15.85781,135.692579522704,41.6398151487411,6,STAR,F5
1237657630051008697,19.04794,17.9821,17.61145,17.46891,17.41556,-0.0002667173,19.01562,17.98452,17.61238,17.48418,17.40689,19.04794,17.9821,17.61145,17.46891,17.41556,136.17488132142,41.3112338683111,6,STAR,G0
1237657630050681412,23.39382,22.0427,20.696,19.30496,18.50632,0.0004360935,23.36677,22.03983,20.71802,19.34984,18.5244,23.39382,22.0427,20.696,19.30496,18.50632,135.247219506347,40.8614557604615,6,STAR,M5
1237657630050681091,21.84919,19.34712,18.07933,17.54775,17.23366,-2.167118E-05,21.80754,19.34382,18.1139,17.56246,17.24377,21.84919,19.34712,18.07933,17.54775,17.23366,135.266398200577,40.8405792543136,6,STAR,K7
1237657608571650380,21.68111,19.053,17.59806,16.45507,15.76439,-5.55694E-05,21.73628,19.11217,17.72512,16.52945,15.86436,21.68111,19.053,17.59806,16.45507,15.76439,123.620725407342,37.6522905589723,6,STAR,M3
1237657595150205184,18.0613,16.65234,16.1745,16.535,15.97785,-0.0001847659,18.0674,16.65092,16.17443,16.71684,15.98366,18.0613,16.65234,16.1745,16.535,15.97785,123.937646106353,37.8242561938328,6,STAR,F9
1237657594613334272,21.80661,19.75225,18.94459,18.9502,18.45401,-0.000100166,21.70296,19.75553,18.9494,19.0574,18.43706,21.80661,19.75225,18.94459,18.9502,18.45401,124.286105728123,37.4468754012919,6,STAR,K3
1237657594613203422,21.50009,19.23871,18.23335,18.13057,17.6574,2.955766E-05,21.50672,19.25869,18.24524,18.2354,17.65906,21.50009,19.23871,18.23335,18.13057,17.6574,124.093887699739,37.3174270760017,6,STAR,K5
1237657594613071945,18.50379,17.39076,17.02441,17.13797,16.87278,-0.000171617,18.5018,17.41311,17.028,17.24427,16.88029,18.50379,17.39076,17.02441,17.13797,16.87278,123.836764909904,36.9662706237988,6,STAR,F5
1237657594612875618,21.86493,19.38062,18.25258,18.10438,17.60165,0.0002130996,21.83505,19.38063,18.24439,18.19357,17.58974,21.86493,19.38062,18.25258,18.10438,17.60165,123.574451342657,36.6045838229974,6,STAR,K5
1237656496178790877,23.4738,21.95365,20.77032,19.33585,19.04134,3.521483E-05,23.46808,21.93516,20.74843,19.33057,19.00047,23.4738,21.95365,20.77032,19.33585,19.04134,339.686410529433,14.0653513325457,6,STAR,M4
1237652944240509229,21.80383,19.26649,17.71211,16.58819,15.97927,-0.0001351536,21.77764,19.24833,17.68566,16.57937,15.9602,21.80383,19.26649,17.71211,16.58819,15.97927,339.792365462908,14.327325951096,6,STAR,M2
1237652943166636868,23.37839,21.8179,20.38648,19.46471,19.55364,9.908096E-05,23.30439,21.81536,20.37634,19.48278,19.58601,23.37839,21.8179,20.38648,19.46471,19.55364,339.635151654564,13.5731340990795,6,STAR,M1
1237651497367634425,21.55899,20.28781,19.74536,19.52503,19.45871,-0.0001444502,21.56998,20.29787,19.74894,19.52247,19.4645,21.55899,20.28781,19.74536,19.52503,19.45871,117.104802392295,44.6184726389018,6,STAR,G0 (63791)
