objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237670965917123722,25.01428,23.01491,21.37129,20.05366,19.54711,0.6184285,25.09237,23.71971,22.31238,21.05533,20.32719,25.01428,23.01491,21.37129,20.05366,19.54711,128.050920630499,11.691706716707,3,GALAXY,null
1237670965917123473,22.57673,22.70035,20.88667,19.81584,19.07747,0.6162015,23.29718,23.19491,21.44792,20.42319,19.65175,22.57673,22.70035,20.88667,19.81584,19.07747,128.037519755097,11.7744786343427,3,GALAXY,null
1237670965385298378,23.80187,22.38217,21.97671,21.1314,21.33167,0.8316286,23.65812,22.63067,22.41699,21.48142,21.60779,23.80187,22.38217,21.97671,21.1314,21.33167,139.478989093382,14.451003599266,3,GALAXY,null
1237670965385167082,25.64268,22.98174,21.80567,21.48124,22.19346,1.22839,25.66679,23.2665,22.24069,21.94993,22.34323,25.64268,22.98174,21.80567,21.48124,22.19346,139.289462297422,14.3811812484302,3,GALAXY,null
1237670965380514841,23.26462,23.17748,21.29267,20.01818,19.45805,0.6312522,23.53438,23.61089,21.70941,20.49516,19.92309,23.26462,23.17748,21.29267,20.01818,19.45805,128.634164897957,11.5471490296103,3,GALAXY,null
1237670965380449063,26.46621,22.14884,20.77514,19.88556,19.39289,0.594584,25.5825,22.88456,21.84575,20.89443,20.23451,26.46621,22.14884,20.77514,19.88556,19.39289,128.590189447643,11.4343065432929,3,GALAXY,null
1237670965380448733,24.72268,21.44149,19.60939,18.91244,18.45999,0.3537761,24.56762,22.27288,20.52918,19.85545,19.39115,24.72268,21.44149,19.60939,18.91244,18.45999,128.557596447381,11.5173891973837,3,GALAXY,null
1237670965380383828,25.31421,22.78634,21.02221,19.66605,19.00516,0.6354895,24.61493,23.43053,21.78883,20.55037,19.82934,25.31421,22.78634,21.02221,19.66605,19.00516,128.426221053217,11.4520736551367,3,GALAXY,null
1237670965380383488,23.56514,22.27312,20.96569,19.93035,19.64056,0.5679586,24.01059,23.25351,21.88416,20.96037,20.53833,23.56514,22.27312,20.96569,19.93035,19.64056,128.410498662256,11.3791493008885,3,GALAXY,null
1237670965380317989,22.74875,20.70076,18.98281,18.3001,17.89643,0.3024221,23.46549,21.83988,20.07461,19.40401,19.03249,22.74875,20.70076,18.98281,18.3001,17.89643,128.331754007289,11.3758267571138,3,GALAXY,null
1237670965380317839,23.95803,20.22099,18.61416,18.01597,17.62333,0.3018923,24.58794,21.7714,20.13976,19.57907,19.16733,23.95803,20.22099,18.61416,18.01597,17.62333,128.273205801917,11.4160588934863,3,GALAXY,null
1237670965380252118,22.63956,21.31479,19.54727,18.82274,18.53628,0.3309278,22.92473,22.09266,20.28673,19.55357,19.33137,22.63956,21.31479,19.54727,18.82274,18.53628,128.210485176204,11.3050905600055,3,GALAXY,null
1237671955905446323,25.91972,22.68455,20.7937,19.64358,19.2325,0.613171,25.71548,23.00955,21.42249,20.34455,19.74094,25.91972,22.68455,20.7937,19.64358,19.2325,201.51451407137,7.2588558437328,3,GALAXY,null
